prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
北海道,rebuntou Island,礼文島,れぶんとう,宗谷・礼文町,81.25,,
北海道,yagishiritou Island,焼尻島,やぎしりとう,渡島・松前町,5.81,,
北海道,rishiritou Island,利尻島,りしりとう,根室・色丹村,1.28,,
北海道,teuritou Island,天売島,てうりとう,天売・焼尻国定公園内,3.84,,
北海道,okushiritou Island,奥尻島,おくしりとう,後志・奥尻町,141.31,,
北海道,kojima Island,小島,こじま,厚岸郡厚岸町,1.54,0.9,27
北海道,kamomejima Island,鴎島,かもめじま,檜山郡江差町,,,
宮城県,ooshima Island,大島,おおしま,気仙沼市,8.51,24.3,234
宮城県,izushima Island,出島,いずしま,女川町,2.62,14,87
宮城県,eshima Island,江島,えしま,松島湾内,0.05,3.7,75
宮城県,ajishima Island,網地島,あじしま,石巻市,6.49,20.7,100
宮城県,tashirojima Island,田代島,たしろじま,石巻市,2.92,11.5,96
宮城県,sabusawajima Island,寒風沢島,さぶさわじま,塩竈市,1.37,13.5,30
宮城県,nonoshima Island,野々島,ののしま,気仙沼市,0.24,8.9,23
宮城県,katsurashima Island,桂島,かつらしま,松島湾内,0.09,6.8,55
宮城県,hoojima Island,朴島,ほおじま,石巻市,0.08,2.2,23
宮城県,kinkasan Island,金華山,きんかさん,石巻市,9.92,17.3,444
宮城県,miyatojima Island,宮戸島,みやとじま,東松島市,7.1,-,105
山形県,tobishima Island,飛島,とびしま,酒田市,2.73,12,68
東京都,ooshima Island,大島,おおしま,大島町,90.73,52,758
東京都,toshima Island,利島,としま,利島村,4.12,7.7,508
東京都,niijima Island,新島,にいじま,新島村,22.97,41.6,432
東京都,shikinejima Island,式根島,しきねじま,新島村,3.67,12.2,109
東京都,kouzushima Island,神津島,こうづしま,神津島村,18.24,33.3,572
東京都,miyakejima Island,三宅島,みやけじま,三宅村,55.2,38.4,775
東京都,mikurashima Island,御蔵島,みくらしま,御蔵島村,20.52,16.4,851
東京都,hachijiujima Island,八丈島,はちじょうじま,八丈町,69.11,51.3,854
東京都,aogashima Island,青ケ島,あおがしま,青ケ島村,5.96,9.4,423
東京都,chichijima Island,父島,ちちじま,小笠原村,23.45,52,321
東京都,hahajima Island,母島,ははじま,小笠原村,19.88,58,463
千葉県,niemonjima Island,仁右衛門島,にえもんじま,鴨川市,0.03,-,24
神奈川県,jiugashima Island,城ヶ島,じょうがしま,三浦市,0.99,9.4,35
神奈川県,enoshima Island,江の島,えのしま,藤沢市,0.38,5,60
新潟県,awashima Island,粟島,あわしま,岩船郡粟島浦村,9.69,23.1,266
新潟県,sadogashima Island,佐渡島,さどがしま,佐渡市,854.81,280.9,1172
石川県,hegurajima Island,舳倉島,へぐらじま,輪島市,0.55,5.2,13
石川県,notojima Island,能登島,のとじま,七尾市,46.59,72,197
静岡県,hatsushima Island,初島,はつしま,熱海市,0.44,4,58
愛知県,sakushima Island,佐久島,さくしま,西尾市,1.73,11.8,38
愛知県,himakajima Island,日間賀島,ひまかじま,知多郡南知多町,0.77,6.6,32
愛知県,shinojima Island,篠島,しのじま,知多郡南知多町,0.94,8.2,49
三重県,kamishima Island,神島,かみしま,鳥羽市,0.76,3.9,171
三重県,toushijima Island,答志島,とうしじま,鳥羽市,6.96,26.3,167
三重県,sugashima Island,菅島,すがしま,鳥羽市,4.41,13,236
三重県,sakatejima Island,坂手島,さかてじま,鳥羽市,0.51,3.8,112
三重県,watakanojima Island,渡鹿野島,わたかのじま,志摩市,0.69,6,30
三重県,masakijima Island,間崎島,まさきじま,志摩市,0.36,7.4,22
三重県,kashikojima Island,賢島,かしこじま,志摩市,0.66,7.3,30
三重県,yokoyamajima Island,横山島,よこやまじま,志摩市,0.06,-,21
滋賀県,okishima Island,沖島,おきしま,近江八幡市,1.51,6.8,220
兵庫県,awajishima Island,淡路島,あわじしま,淡路市、洲本市、南あわじ市,592.44,215,608
兵庫県,nushima Island,沼島,ぬしま,南あわじ市,2.67,10.3,125
兵庫県,ieshima Island,家島,いえしま,姫路市,5.41,15.4,134
兵庫県,tangashima Island,男鹿島,たんがしま,姫路市,4.53,10,193
